"","dataset","Taxonomy","count"
"1","Bac16S_1","Acetothermia_genera_incertae_sedis",1
"2","Bac16S_1","Acidaminobacter",1
"3","Bac16S_1","Acidibacter",1
"4","Bac16S_1","Acidicaldus",1
"5","Bac16S_1","Acidipila",5
"6","Bac16S_1","Acidisoma",4
"7","Bac16S_1","Acidocella",1
"8","Bac16S_1","Aggregicoccus",3
"9","Bac16S_1","Aliidongia",6
"10","Bac16S_1","Aminomonas",1
"11","Bac16S_1","Anaeromyxobacter",1
"12","Bac16S_1","Athalassotoga",2
"13","Bac16S_1","Biomaibacter",1
"14","Bac16S_1","Blastochloris",5
"15","Bac16S_1","Candidatus Koribacter",1
"16","Bac16S_1","Candidatus Solibacter",1
"17","Bac16S_1","Chloracidobacterium",1
"18","Bac16S_1","Conexibacter",1
"19","Bac16S_1","Desulfoglaeba",1
"20","Bac16S_1","Dyella",1
"21","Bac16S_1","Edaphobacter",4
"22","Bac16S_1","Fimbriiglobus",5
"23","Bac16S_1","Flavisolibacter",1
"24","Bac16S_1","Gemmata",3
"25","Bac16S_1","Gemmatimonas",1
"26","Bac16S_1","Geothermobacter",2
"27","Bac16S_1","Geothermobacterium",2
"28","Bac16S_1","Gimesia",1
"29","Bac16S_1","Gp1",13
"30","Bac16S_1","Gp10",1
"31","Bac16S_1","Gp13",1
"32","Bac16S_1","Gp2",14
"33","Bac16S_1","Gp3",4
"34","Bac16S_1","Gp4",1
"35","Bac16S_1","Gp7",7
"36","Bac16S_1","Granulicella",1
"37","Bac16S_1","Ktedonobacter",2
"38","Bac16S_1","Limnochorda",1
"39","Bac16S_1","Longilinea",2
"40","Bac16S_1","Luteitalea",3
"41","Bac16S_1","Methyloceanibacter",1
"42","Bac16S_1","Micropepsis",2
"43","Bac16S_1","Mycobacterium",1
"44","Bac16S_1","Nitrolancea",1
"45","Bac16S_1","Ornatilinea",1
"46","Bac16S_1","Paenibacillus",2
"47","Bac16S_1","Parasegetibacter",1
"48","Bac16S_1","Povalibacter",3
"49","Bac16S_1","Pseudolabrys",1
"50","Bac16S_1","Pseudorhodoplanes",1
"51","Bac16S_1","Puia",1
"52","Bac16S_1","Rhodanobacter",1
"53","Bac16S_1","Rhodoplanes",4
"54","Bac16S_1","Roseiarcus",3
"55","Bac16S_1","Roseisolibacter",2
"56","Bac16S_1","Rubinisphaera",1
"57","Bac16S_1","Singulisphaera",3
"58","Bac16S_1","Spartobacteria_genera_incertae_sedis",14
"59","Bac16S_1","Streptophyta",1
"60","Bac16S_1","Syntrophaceticus",1
"61","Bac16S_1","Telmatobacter",1
"62","Bac16S_1","Tepidimonas",1
"63","Bac16S_1","Terracidiphilus",2
"64","Bac16S_1","Terriglobus",1
"65","Bac16S_1","Thermanaerothrix",1
"66","Bac16S_1","Thermoflexus",3
"67","Bac16S_1","Thermomarinilinea",4
"68","Bac16S_1","Trinickia",1
"69","Bac16S_1","Tuwongella",2
"70","Bac16S_1","WPS-1_genera_incertae_sedis",1
"71","Bac16S_1","WPS-2_genera_incertae_sedis",2
"72","Euk18S_1","Amia",1
"73","Euk18S_1","Archaeorhizomyces",2
"74","Euk18S_1","Camarophyllus",1
"75","Euk18S_1","Cavernomonas",1
"76","Euk18S_1","Chaetopeltis",1
"77","Euk18S_1","Clostridium_sensu_stricto_15",1
"78","Euk18S_1","Coleochaete",1
"79","Euk18S_1","Cortinarius",2
"80","Euk18S_1","Dictyamoeba",1
"81","Euk18S_1","Diplopsalis",1
"82","Euk18S_1","Epicarchesium",1
"83","Euk18S_1","Floydiella",1
"84","Euk18S_1","Gaertneriomyces",1
"85","Euk18S_1","Halosarpheia",1
"86","Euk18S_1","Hypotrichia_uncultured",2
"87","Euk18S_1","Jaminaea",2
"88","Euk18S_1","JBNA46",1
"89","Euk18S_1","Lactarius",1
"90","Euk18S_1","Limnognathia",1
"91","Euk18S_1","Mortierella",3
"92","Euk18S_1","Orciraptor",1
"93","Euk18S_1","Paracercomonas",1
"94","Euk18S_1","Pedinomonas",2
"95","Euk18S_1","Phalansterium",1
"96","Euk18S_1","Plagiascoma",1
"97","Euk18S_1","Pohlia",1
"98","Euk18S_1","Pottia",2
"99","Euk18S_1","Pseudourostyla",1
"100","Euk18S_1","Rhizoclosmatium",1
"101","Euk18S_1","Rosulabryum",1
"102","Euk18S_1","Rotaria",3
"103","Euk18S_1","Trametes",1
"104","Euk18S_1","Trechispora",1
"105","Euk18S_1","Tricholomataceae_Tricholoma",1
"106","Euk18S_1","Umbelopsis",3
"107","Euk18S_1","Viridiraptor",5
"108","F230_1","Acroneuria",1
"109","F230_1","Archidispus",1
"110","F230_1","Asiomorpha",1
"111","F230_1","Brachoria",1
"112","F230_1","Cantellius",1
"113","F230_1","Ceratozetes",1
"114","F230_1","Ceroxys",1
"115","F230_1","Diplocentrus",1
"116","F230_1","Draconarius",1
"117","F230_1","Drepanura",1
"118","F230_1","Elattoma",1
"119","F230_1","Folsomia",2
"120","F230_1","Gymnometriocnemus",1
"121","F230_1","Hyperoncus",1
"122","F230_1","Kingdonella",1
"123","F230_1","Lampronia",1
"124","F230_1","Moritzoppia",1
"125","F230_1","Nebria",1
"126","F230_1","Nemastoma_Nemastomatidae",1
"127","F230_1","Odontoscelis",1
"128","F230_1","Oppiella",1
"129","F230_1","Paegniodes",1
"130","F230_1","Paralamellobates",1
"131","F230_1","Parisotoma",1
"132","F230_1","Petalocephala",1
"133","F230_1","Prodoxus",2
"134","F230_1","Pseudopygmephorellus",1
"135","F230_1","Rhiginia",1
"136","F230_1","Sinhomidia",2
"137","F230_1","Smicridea",1
"138","F230_1","Sphaerocoris",1
"139","F230_1","Svenartia",1
"140","F230_1","Tabanus",1
"141","F230_1","Trhypochthonius",1
"142","F230_1","Willowsia",1
"143","ITS_1","Acaulospora",1
"144","ITS_1","Agaricomycetes_unidentified_1",1
"145","ITS_1","Ascomycota_unidentified_1_1",1
"146","ITS_1","Auriculariales_unidentified_1",1
"147","ITS_1","Basidiomycota_unidentified_1_1",3
"148","ITS_1","Cadophora",1
"149","ITS_1","Chaetothyriales_unidentified_1",2
"150","ITS_1","Cladophialophora",2
"151","ITS_1","Collophora",1
"152","ITS_1","Cortinarius",2
"153","ITS_1","Dermateaceae_unidentified",3
"154","ITS_1","Derxomyces",1
"155","ITS_1","Geminibasidium",2
"156","ITS_1","Genea",1
"157","ITS_1","Geoglossaceae_unidentified",1
"158","ITS_1","Helotiales_unidentified_1",10
"159","ITS_1","Herpotrichiellaceae_unidentified",1
"160","ITS_1","Hyaloscypha",1
"161","ITS_1","Hyaloscyphaceae_unidentified",1
"162","ITS_1","Hygrophorus",2
"163","ITS_1","Lactarius",1
"164","ITS_1","Leotiomycetes_unidentified_1",1
"165","ITS_1","Mortierella",2
"166","ITS_1","Oidiodendron",1
"167","ITS_1","Ophiocordyceps",1
"168","ITS_1","Pezizomycetes_unidentified_1",1
"169","ITS_1","Piloderma",1
"170","ITS_1","Rhizoscyphus",1
"171","ITS_1","Sebacinales_unidentified_1",1
"172","ITS_1","Thelephoraceae_unidentified",1
"173","ITS_1","Trichocomaceae_unidentified",1
"174","ITS_1","Tricholoma",1
