"","dataset","Taxonomy"
"1","Bac16S_3","Gp1"
"2","Bac16S_3","Gp2"
"3","Bac16S_3","Micropepsis"
"4","Bac16S_3","Spartobacteria_genera_incertae_sedis"
"5","Bac16S_3","Blastochloris"
"6","Bac16S_3","Nitrososphaera"
"7","Bac16S_3","Pseudorhodoplanes"
"8","Bac16S_3","Granulicella"
"9","Bac16S_3","Fimbriiglobus"
"10","Bac16S_3","Gp4"
"11","Bac16S_3","Gemmata"
"12","Bac16S_3","Afipia"
"13","Bac16S_3","Pseudolabrys"
"14","Bac16S_3","Reyranella"
"15","Bac16S_3","Limnochorda"
"16","Bac16S_3","Gp6"
"17","Bac16S_3","Bauldia"
"18","Bac16S_3","Gp3"
"19","Bac16S_3","Acidibacter"
"20","Bac16S_3","Rhodoplanes"
"21","Bac16S_3","Aliidongia"
"22","Bac16S_3","Edaphobacter"
"23","Bac16S_3","Sterolibacterium"
"24","Bac16S_3","Gp7"
"25","Bac16S_3","Geothermobacter"
"26","Bac16S_3","Nitrobacter"
"27","Bac16S_3","Streptophyta"
"28","Bac16S_3","Terracidiphilus"
"29","Bac16S_3","Longilinea"
"30","Bac16S_3","Geothermobacterium"
"31","Bac16S_3","Anaeromyxobacter"
"32","Bac16S_3","Trinickia"
"33","Bac16S_3","Biomaibacter"
"34","Bac16S_3","Thermomarinilinea"
"35","Bac16S_3","Syntrophaceticus"
"36","Bac16S_3","Gaiella"
"37","Bac16S_3","Nitrospirillum"
"38","Bac16S_3","Thermanaerothrix"
"39","Bac16S_3","Roseiarcus"
"40","Bac16S_3","Gp13"
"41","Bac16S_3","Thermoflexus"
"42","Bac16S_3","Zavarzinella"
"43","Bac16S_3","Athalassotoga"
"44","Bac16S_3","Paenibacillus"
"45","Bac16S_3","Gemmatimonas"
"46","Bac16S_3","Thermostilla"
"47","Bac16S_3","Methylocapsa"
"48","Bac16S_3","Acidisoma"
"49","Bac16S_3","Gp10"
"50","Bac16S_3","Sulfuritortus"
"51","Bac16S_3","Singulisphaera"
"52","Bac16S_3","Candidatus Koribacter"
"53","Bac16S_3","Mycobacterium"
"54","Bac16S_3","Candidatus Solibacter"
"55","Bac16S_3","Lacibacterium"
"56","Bac16S_3","Methyloceanibacter"
"57","Bac16S_3","Chloracidobacterium"
"58","Bac16S_3","Tepidimonas"
"59","ITS_3","Auriculariales_unidentified_1"
"60","ITS_3","Cantharellales_unidentified_1"
"61","ITS_3","Helotiales_unidentified_1"
"62","ITS_3","Pyronemataceae_unidentified"
"63","ITS_3","Pseudoomphalina"
"64","ITS_3","Hyaloscypha"
"65","ITS_3","Leotiomycetes_unidentified_1"
"66","ITS_3","Hygrophorus"
"67","ITS_3","Acaulospora"
"68","ITS_3","Dermateaceae_unidentified"
"69","ITS_3","Cortinarius"
"70","ITS_3","Geoglossaceae_unidentified"
"71","ITS_3","Chaetothyriales_unidentified_1"
"72","ITS_3","Orpinomyces"
"73","ITS_3","Mortierella"
"74","ITS_3","Trichocomaceae_unidentified"
"75","ITS_3","Basidiomycota_unidentified_1_1"
"76","ITS_3","Genea"
"77","ITS_3","Sebacinales_unidentified_1"
"78","ITS_3","Collophora"
"79","ITS_3","Rhizoscyphus"
"80","ITS_3","Cadophora"
"81","ITS_3","Clavaria"
"82","ITS_3","Agaricomycetes_unidentified_1"
"83","ITS_3","Ascomycota_unidentified_1_1"
"84","F230_3","Diplocentrus"
"85","F230_3","Petalocephala"
"86","F230_3","Seira"
"87","F230_3","Draconarius"
"88","F230_3","Paegniodes"
"89","F230_3","Archytas"
"90","F230_3","Brachoria"
"91","F230_3","Eulonchus"
"92","F230_3","Oppiella"
"93","F230_3","Elattoma"
"94","Euk18S_3","Rosulabryum"
"95","Euk18S_3","Trechispora"
"96","Euk18S_3","Archaeorhizomyces"
"97","Euk18S_3","Pedinomonas"
"98","Euk18S_3","Archaeperidinium"
"99","Euk18S_3","Cavernomonas"
"100","Euk18S_3","Clostridium_sensu_stricto_15"
"101","Euk18S_3","Mortierella"
"102","Euk18S_3","Orciraptor"
"103","Euk18S_3","Coleochaete"
"104","Euk18S_3","Amia"
"105","Euk18S_3","Viridiraptor"
"106","Euk18S_3","Heteromita"
"107","Euk18S_3","Platyophrya"
"108","Euk18S_3","Pottia"
"109","Euk18S_3","Floydiella"
"110","Euk18S_3","Polytrichum"
"111","Euk18S_3","Phalansterium"
